Section,MethodName,Parameter,Value
Context,,Save Type,Static Frame
Context,,Timestamp,2025-08-27T17:11:20.273
Context,,git_commit_count,66
Context,,git_commit_hash,4913d10313577b5be5862b5d259d741541775830
Context,,git_commit_summary,LibGit2.GitCommit
Context,,julia_version,1.11.5
Scene,,component,1
Scene,,y_key,relative_mass
Shared,,CFL,0.2
Shared,,N,300
Shared,,PDE,burgers
Shared,,SEED,10
Shared,,bc,:outflow
Shared,,init_func,riemann
Shared,,init_params,"(1.0, 0.5, -3.0)"
Shared,,interp_alpha,1.0
Shared,,interp_range,3.5
Shared,,order,1
Shared,,randomness_factor,0.2
Shared,,sim_function,runScalarSim
Shared,,snapshots,50
Shared,,tmax,8.0
Shared,,xmax,5.0
Shared,,xmin,-5.0
UI,,animation_fps,30
UI,,colors,"[:red, :blue, :green, :orange, :purple, :brown, :cyan, :yellow, :gray, :magenta, :navy]"
UI,,comp_names,"(""default"",)"
UI,,create_savefolder,false
UI,,dashed_lines,true
UI,,figsize,"(700, 550)"
UI,,font_size,14
UI,,label_size,14
UI,,legend,<empty>
UI,,legend_pos,topleft
UI,,lineStyles,"Any[:solid, (:dash, :dense), (:dash, :normal), (:dashdot, :dense), (:dashdot, :normal), (:dot, :dense), (:dot, :normal), (:dash, :dense), (:dash, :normal), (:dashdot, :dense), (:dashdot, :normal), (:dot, :dense), (:dot, :normal)]"
UI,,linewidth,2.5
UI,,mark_outliers,false
UI,,markers,"[:rect, :circle, :utriangle, :dtriangle, :cross, :xcross]"
UI,,markersize,10
UI,,outlier_threshold,1.5
UI,,reference,"(1.0,)"
UI,,remove_outliers,false
UI,,save_formats,"[""png"", ""pdf"", ""svg""]"
UI,,show_lines,true
UI,,show_scatter,false
UI,,sort_legend,true
UI,,ticklabel_size,12
UI,,title,<empty>
UI,,title_size,14
UI,,track_max,false
UI,,track_min,false
UI,,update_limits,false
UI,,xgridvisible,true
UI,,xlabel,default
UI,,xlogscale,false
UI,,xpadding,0.0
UI,,xscale_offset,0.0
UI,,xtick_count,0
UI,,xtickformat,default
UI,,xticklabelsvisible,true
UI,,ygridvisible,true
UI,,ylabel,Relative Mass
UI,,ylogscale,false
UI,,ypadding,0.1
UI,,yscale_offset,0.0
UI,,ytick_count,0
UI,,ytickformat,default
UI,,yticklabelsvisible,true
Method,ARS233MUSCL2MOOD,MOOD,U2
Method,ARS233MUSCL2MOOD,delta_relax,0.0
Method,ARS233MUSCL2MOOD,fallback_flux,Rusanov
Method,ARS233MUSCL2MOOD,fallback_gradient,Upwind
Method,ARS233MUSCL2MOOD,main_flux,Rusanov
Method,ARS233MUSCL2MOOD,main_gradient,MUSCL
Method,ARS233MUSCL2MOOD,order,2
Method,ARS233MUSCL2MOOD,relax_epsilon,1.0e-8
Method,ARS233MUSCL2MOOD,relax_method,true
Method,ARS233MUSCL2MOOD,relax_velocities,"(1.0, -1.0)"
Method,ARS233MUSCL2MOOD,timestepper,ARS233
Method,Analytic Solution,N,"(:const, 1000)"
Method,Analytic Solution,ignore,"[""interp_alpha"", ""randomness_factor"", ""SEED"", ""order""]"
Method,RK2MUSCL2,MOOD,none
Method,RK2MUSCL2,main_flux,Rusanov
Method,RK2MUSCL2,main_gradient,MUSCL
Method,RK2MUSCL2,order,2
Method,RK2MUSCL2,timestepper,RalstonRK2
Method,RK2MUSCL2MOOD(U1),MOOD,U1
Method,RK2MUSCL2MOOD(U1),delta_relax,0.0
Method,RK2MUSCL2MOOD(U1),fallback_flux,Rusanov
Method,RK2MUSCL2MOOD(U1),fallback_gradient,Upwind
Method,RK2MUSCL2MOOD(U1),interp_range,1.5
Method,RK2MUSCL2MOOD(U1),main_flux,Rusanov
Method,RK2MUSCL2MOOD(U1),main_gradient,MUSCL
Method,RK2MUSCL2MOOD(U1),order,2
Method,RK2MUSCL2MOOD(U1),timestepper,RalstonRK2
Method,RK2MUSCL2MOOD(U2),MOOD,U2
Method,RK2MUSCL2MOOD(U2),delta_relax,0.0
Method,RK2MUSCL2MOOD(U2),fallback_flux,Rusanov
Method,RK2MUSCL2MOOD(U2),fallback_gradient,Upwind
Method,RK2MUSCL2MOOD(U2),interp_range,1.5
Method,RK2MUSCL2MOOD(U2),main_flux,Rusanov
Method,RK2MUSCL2MOOD(U2),main_gradient,MUSCL
Method,RK2MUSCL2MOOD(U2),order,2
Method,RK2MUSCL2MOOD(U2),timestepper,RalstonRK2
